name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mediterraneibacter	2316020	G	454	525	979	0.02628
Anaerostipes	207244	G	373	301	674	0.01809
Blautia	572511	G	106	125	231	0.00620
Anaerobutyricum	2569097	G	93	98	191	0.00513
Sellimonas	1769710	G	61	20	81	0.00217
Dorea	189330	G	49	88	137	0.00368
Lachnoclostridium	1506553	G	26	12	38	0.00102
Enterocloster	2719313	G	20	5	25	0.00067
Roseburia	841	G	19	23	42	0.00113
Anaerocolumna	1843210	G	13	0	13	0.00035
Butyrivibrio	830	G	12	1	13	0.00035
Simiaoa	2944193	G	9	11	20	0.00054
Marvinbryantia	248744	G	7	1	8	0.00021
Kineothrix	2163168	G	6	0	6	0.00016
Lachnospira	28050	G	5	2	7	0.00019
Pseudobutyrivibrio	46205	G	4	0	4	0.00011
Anaeropeptidivorans	2997360	G	1	0	1	0.00003
Lacrimispora	2719231	G	1	0	1	0.00003
Wansuia	2944198	G	1	0	1	0.00003
Vallitalea	1348611	G	11	1	12	0.00032
Petrocella	2603323	G	1	0	1	0.00003
Defluviitalea	1185408	G	2	1	3	0.00008
Faecalibacterium	216851	G	1054	294	1348	0.03618
Ruthenibacterium	1905344	G	23	24	47	0.00126
Flavonifractor	946234	G	21	33	54	0.00145
Vescimonas	2892396	G	5	11	16	0.00043
Petroclostridium	2304687	G	2	0	2	0.00005
Ruminococcus	1263	G	1	0	1	0.00003
Anaerotruncus	244127	G	1	2	3	0.00008
Oscillibacter	459786	G	1	144	145	0.00389
Solibaculum	2842531	G	1	2	3	0.00008
Paludihabitans	2038676	G	1	0	1	0.00003
Lawsonibacter	2172004	G	1	2	3	0.00008
Hungatella	1649459	G	21	18	39	0.00105
Clostridium	1485	G	12	142	154	0.00413
Eubacterium	1730	G	13	13	26	0.00070
Intestinimonas	1392389	G	5	5	10	0.00027
Intestinibacillus	1928820	G	3	2	5	0.00013
Desulfitobacterium	36853	G	2	0	2	0.00005
Maliibacterium	3047433	G	1	0	1	0.00003
Peptacetobacter	2743582	G	7	2	9	0.00024
Thermoanaerobacter	1754	G	1	0	1	0.00003
Bacillus	1386	G	73	2416	2489	0.06681
Heyndrickxia	2837504	G	2	1	3	0.00008
Mesobacillus	2675231	G	2	0	2	0.00005
Salicibibacter	2685905	G	1	0	1	0.00003
Staphylococcus	1279	G	14	315	329	0.00883
Paenibacillus	44249	G	5	0	5	0.00013
Streptococcus	1301	G	12	9	21	0.00056
Lactobacillus	1578	G	1	0	1	0.00003
Ligilactobacillus	2767887	G	1	1	2	0.00005
Granulicatella	117563	G	1	0	1	0.00003
Faecalibacillus	2678885	G	91	45	136	0.00365
Thomasclavelia	3025755	G	2	10	12	0.00032
Anaerococcus	165779	G	3	2	5	0.00013
Finegoldia	150022	G	2	1	3	0.00008
Parvimonas	543311	G	1	0	1	0.00003
Tissierella	41273	G	1	0	1	0.00003
Dialister	39948	G	2	0	2	0.00005
Cutibacterium	1912216	G	96	47	143	0.00384
Nocardioides	1839	G	3	0	3	0.00008
Bifidobacterium	1678	G	81	20	101	0.00271
Corynebacterium	1716	G	25	2	27	0.00072
Lawsonella	1847725	G	5	3	8	0.00021
Micrococcus	1269	G	7	7	14	0.00038
Kocuria	57493	G	2	0	2	0.00005
Janibacter	53457	G	4	0	4	0.00011
Dermacoccus	57495	G	4	4	8	0.00021
Curtobacterium	2034	G	1	0	1	0.00003
Actinomyces	1654	G	3	0	3	0.00008
Pseudonocardia	1847	G	2	0	2	0.00005
Actinomycetospora	402649	G	1	0	1	0.00003
Streptomyces	1883	G	2	0	2	0.00005
Collinsella	102106	G	17	7	24	0.00064
Egicoccus	1755825	G	1	0	1	0.00003
Meiothermus	65551	G	5	0	5	0.00013
Allomeiothermus	2935559	G	3	0	3	0.00008
Halotia	1620790	G	1	0	1	0.00003
Oscillatoria	1158	G	1	1	2	0.00005
Candidatus Chlorohelix	3139173	G	2	0	2	0.00005
Phocaeicola	909656	G	508	220	728	0.01954
Bacteroides	816	G	104	9	113	0.00303
Segatella	2974251	G	75	23	98	0.00263
Prevotella	838	G	7	7	14	0.00038
Parabacteroides	375288	G	28	0	28	0.00075
Alistipes	239759	G	11	0	11	0.00030
Odoribacter	283168	G	2	0	2	0.00005
Coprobacter	1348911	G	1	0	1	0.00003
Olivibacter	376469	G	4	0	4	0.00011
Pedobacter	84567	G	1	0	1	0.00003
Spirosoma	107	G	2	0	2	0.00005
Aureibaculum	2706948	G	1	0	1	0.00003
Aureispira	365032	G	1	0	1	0.00003
Candidatus Cloacimonas	456826	G	1	0	1	0.00003
Escherichia	561	G	4	1621	1625	0.04362
Klebsiella	570	G	2	7283	7285	0.19553
Enterobacter	547	G	1	25	26	0.00070
Candidatus Mikella	1906660	G	1	0	1	0.00003
Pseudomonas	286	G	8	0	8	0.00021
Moraxella	475	G	3	0	3	0.00008
Acinetobacter	469	G	1	0	1	0.00003
Psychrobacter	497	G	1	0	1	0.00003
Marinomonas	28253	G	2	0	2	0.00005
Vreelandella	3137766	G	1	0	1	0.00003
Flagellatimonas	2893022	G	1	0	1	0.00003
Ectothiorhodosinus	233099	G	1	0	1	0.00003
Stenotrophomonas	40323	G	1	0	1	0.00003
Aeromonas	642	G	1	2	3	0.00008
Pseudoalteromonas	53246	G	1	0	1	0.00003
Labrys	204476	G	9	9	18	0.00048
Brucella	234	G	1	1	2	0.00005
Asticcacaulis	76890	G	4	5	9	0.00024
Paracoccus	265	G	3	1	4	0.00011
Aliiroseovarius	1658781	G	2	2	4	0.00011
Sphingomonas	13687	G	3	0	3	0.00008
Burkholderia	32008	G	5	18898	18903	0.50737
Cupriavidus	106589	G	2	0	2	0.00005
Acidovorax	12916	G	1	2	3	0.00008
Achromobacter	222	G	1	0	1	0.00003
Aquincola	391952	G	1	0	1	0.00003
Nitratidesulfovibrio	2802295	G	2	2	4	0.00011
Oleidesulfovibrio	2909705	G	2	2	4	0.00011
Lawsonia	41707	G	1	0	1	0.00003
Borreliella	64895	G	3	0	3	0.00008
Treponema	157	G	1	0	1	0.00003
Anatilimnocola	2807414	G	1	0	1	0.00003
Luteolibacter	518753	G	1	0	1	0.00003
Bdellovibrio	958	G	1	0	1	0.00003
Bacteriovorax	146784	G	1	0	1	0.00003
