name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mediterraneibacter	2316020	G	369	256	625	0.00664
Agathobacter	1766253	G	71	66	137	0.00146
Anaerostipes	207244	G	67	36	103	0.00109
Coprococcus	33042	G	62	67	129	0.00137
Anaerobutyricum	2569097	G	43	28	71	0.00075
Dorea	189330	G	38	37	75	0.00080
Blautia	572511	G	28	9	37	0.00039
Simiaoa	2944193	G	21	16	37	0.00039
Chakrabartyella	3088373	G	16	4	20	0.00021
Lachnospira	28050	G	14	4	18	0.00019
Roseburia	841	G	12	7	19	0.00020
Lachnoclostridium	1506553	G	10	2	12	0.00013
Tyzzerella	1506577	G	7	1	8	0.00009
Enterocloster	2719313	G	5	0	5	0.00005
Lacrimispora	2719231	G	3	0	3	0.00003
Novisyntrophococcus	2888809	G	1	0	1	0.00001
Butyrivibrio	830	G	1	0	1	0.00001
Kineothrix	2163168	G	1	0	1	0.00001
Anaerocolumna	1843210	G	1	0	1	0.00001
Anaerotignum	2039240	G	70	46	116	0.00123
Subdoligranulum	292632	G	100	11	111	0.00118
Faecalibacterium	216851	G	94	22	116	0.00123
Ruthenibacterium	1905344	G	21	13	34	0.00036
Flavonifractor	946234	G	8	7	15	0.00016
Ruminococcus	1263	G	2	0	2	0.00002
Paludihabitans	2038676	G	2	0	2	0.00002
Clostridium	1485	G	6	1	7	0.00007
Hungatella	1649459	G	2	1	3	0.00003
Flintibacter	1918454	G	4	1	5	0.00005
Dehalobacterium	51514	G	1	0	1	0.00001
Aristaeella	3046369	G	1	0	1	0.00001
Peptacetobacter	2743582	G	2	3	5	0.00005
Filifactor	44259	G	1	0	1	0.00001
Thermoanaerobacter	1754	G	1	0	1	0.00001
Staphylococcus	1279	G	872	24530	25402	0.26990
Bacillus	1386	G	300	7744	8044	0.08547
Neobacillus	2675232	G	4	0	4	0.00004
Cytobacillus	2675230	G	3	0	3	0.00003
Fictibacillus	1329200	G	2	0	2	0.00002
Parageobacillus	1906945	G	1	0	1	0.00001
Mangrovibacillus	2920444	G	1	0	1	0.00001
Priestia	2800373	G	1	0	1	0.00001
Lysinibacillus	400634	G	1	0	1	0.00001
Anoxybacillus	150247	G	1	0	1	0.00001
Gemella	1378	G	8	0	8	0.00009
Paenibacillus	44249	G	5	0	5	0.00005
Abyssicoccus	1955413	G	2	0	2	0.00002
Planococcus	1372	G	1	0	1	0.00001
Streptococcus	1301	G	51	16	67	0.00071
Aerococcus	1375	G	22	7	29	0.00031
Lactobacillus	1578	G	4	2	6	0.00006
Lacticaseibacillus	2759736	G	3	0	3	0.00003
Weissella	46255	G	1	0	1	0.00001
Leuconostoc	1243	G	1	0	1	0.00001
Dolosigranulum	29393	G	2	0	2	0.00002
Carnobacterium	2747	G	1	0	1	0.00001
Granulicatella	117563	G	1	0	1	0.00001
Thomasclavelia	3025755	G	19	4	23	0.00024
Catenibacterium	135858	G	1	10	11	0.00012
Bulleidia	118747	G	3	1	4	0.00004
Erysipelothrix	1647	G	1	0	1	0.00001
Faecalibaculum	1729679	G	1	0	1	0.00001
Veillonella	29465	G	13	0	13	0.00014
Megasphaera	906	G	8	0	8	0.00009
Selenomonas	970	G	5	0	5	0.00005
Megamonas	158846	G	1	0	1	0.00001
Phascolarctobacterium	33024	G	1	1	2	0.00002
Anaerococcus	165779	G	8	2	10	0.00011
Finegoldia	150022	G	1	0	1	0.00001
Cutibacterium	1912216	G	318	80	398	0.00423
Propionibacterium	1743	G	1	2	3	0.00003
Nocardioides	1839	G	21	2	23	0.00024
Micropruina	116071	G	2	1	3	0.00003
Mumia	1546255	G	2	1	3	0.00003
Mycobacterium	1763	G	56	24	80	0.00085
Corynebacterium	1716	G	22	2	24	0.00026
Lawsonella	1847725	G	11	0	11	0.00012
Gordonia	2053	G	3	0	3	0.00003
Rhodococcus	1827	G	2	0	2	0.00002
Dietzia	37914	G	1	0	1	0.00001
Kocuria	57493	G	16	6	22	0.00023
Micrococcus	1269	G	15	0	15	0.00016
Rothia	32207	G	7	0	7	0.00007
Dermacoccus	57495	G	11	5	16	0.00017
Microbacterium	33882	G	1	3	4	0.00004
Kytococcus	57499	G	3	1	4	0.00004
Janibacter	53457	G	1	0	1	0.00001
Bifidobacterium	1678	G	36	5	41	0.00044
Streptomyces	1883	G	13	6	19	0.00020
Actinomyces	1654	G	8	0	8	0.00009
Mobiluncus	2050	G	1	0	1	0.00001
Schaalia	2529408	G	1	0	1	0.00001
Pauljensenia	2740557	G	1	0	1	0.00001
Actinomycetospora	402649	G	4	3	7	0.00007
Thermobifida	83677	G	1	0	1	0.00001
Streptomonospora	104204	G	1	0	1	0.00001
Catellatospora	53365	G	1	0	1	0.00001
Collinsella	102106	G	7	1	8	0.00009
Lancefieldella	2767353	G	1	0	1	0.00001
Adlercreutzia	447020	G	1	0	1	0.00001
Oscillatoria	1158	G	6	4	10	0.00011
Nostoc	1177	G	2	1	3	0.00003
Brasilonema	383614	G	1	0	1	0.00001
Fischerella	1190	G	1	0	1	0.00001
Calothrix	1186	G	1	0	1	0.00001
Crinalium	241421	G	2	1	3	0.00003
Truepera	332248	G	5	0	5	0.00005
Deinococcus	1298	G	3	0	3	0.00003
Allomeiothermus	2935559	G	1	0	1	0.00001
Spiroplasma	2132	G	2	0	2	0.00002
Dehalogenimonas	670486	G	1	0	1	0.00001
Escherichia	561	G	36	13984	14020	0.14897
Klebsiella	570	G	22	887	909	0.00966
Raoultella	160674	G	1	2	3	0.00003
Salmonella	590	G	17	39165	39182	0.41632
Enterobacter	547	G	4	72	76	0.00081
Citrobacter	544	G	3	21	24	0.00026
Shigella	620	G	3	964	967	0.01027
Morganella	581	G	3	2	5	0.00005
Arsenophonus	637	G	2	0	2	0.00002
Providencia	586	G	1	0	1	0.00001
Xenorhabdus	626	G	1	0	1	0.00001
Pantoea	53335	G	1	0	1	0.00001
Pectobacterium	122277	G	1	0	1	0.00001
Yersinia	629	G	1	0	1	0.00001
Sodalis	84565	G	1	0	1	0.00001
Haemophilus	724	G	18	21	39	0.00041
Aggregatibacter	416916	G	2	0	2	0.00002
Pasteurella	745	G	1	8	9	0.00010
Pseudomonas	286	G	25	66	91	0.00097
Moraxella	475	G	17	5	22	0.00023
Acinetobacter	469	G	12	14	26	0.00028
Stenotrophomonas	40323	G	21	12	33	0.00035
Xanthomonas	338	G	2	0	2	0.00002
Lysobacter	68	G	1	0	1	0.00001
Vibrio	662	G	9	5	14	0.00015
Photobacterium	657	G	2	0	2	0.00002
Halomonas	2745	G	4	0	4	0.00004
Salinicola	404432	G	1	0	1	0.00001
Marinomonas	28253	G	1	0	1	0.00001
Nitrincola	267849	G	1	0	1	0.00001
Rheinheimera	67575	G	1	0	1	0.00001
Candidatus Nitrosacidococcus	2796146	G	1	0	1	0.00001
Sulfuriflexus	1860077	G	1	0	1	0.00001
Thiohalobacter	1273155	G	2	0	2	0.00002
