name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Blautia	572511	G	290	88	378	0.01002
Anaerostipes	207244	G	103	52	155	0.00411
Agathobacter	1766253	G	102	45	147	0.00390
Mediterraneibacter	2316020	G	50	7	57	0.00151
Roseburia	841	G	37	8	45	0.00119
Dorea	189330	G	36	20	56	0.00148
Anaerobutyricum	2569097	G	29	11	40	0.00106
Lachnospira	28050	G	25	5	30	0.00080
Coprococcus	33042	G	15	569	584	0.01548
Lachnoanaerobaculum	1164882	G	12	0	12	0.00032
Simiaoa	2944193	G	10	4	14	0.00037
Enterocloster	2719313	G	8	1	9	0.00024
Wansuia	2944198	G	5	0	5	0.00013
Lachnoclostridium	1506553	G	3	0	3	0.00008
Butyrivibrio	830	G	3	0	3	0.00008
Anaerocolumna	1843210	G	2	0	2	0.00005
Qiania	2944195	G	2	0	2	0.00005
Chordicoccus	3031933	G	1	0	1	0.00003
Lacrimispora	2719231	G	1	0	1	0.00003
Vallitalea	1348611	G	1	0	1	0.00003
Faecalibacterium	216851	G	247	37	284	0.00753
Subdoligranulum	292632	G	21	1	22	0.00058
Lawsonibacter	2172004	G	8	12	20	0.00053
Flavonifractor	946234	G	7	9	16	0.00042
Ruminococcus	1263	G	4	0	4	0.00011
Ruthenibacterium	1905344	G	2	1	3	0.00008
Acetivibrio	35829	G	1	0	1	0.00003
Pusillibacter	2892397	G	1	0	1	0.00003
Dysosmobacter	2591381	G	1	63	64	0.00170
Oscillibacter	459786	G	1	2	3	0.00008
Anaerotruncus	244127	G	1	1	2	0.00005
Clostridium	1485	G	5	49	54	0.00143
Caloramator	44258	G	2	0	2	0.00005
Hungatella	1649459	G	1	0	1	0.00003
Maliibacterium	3047433	G	3	1	4	0.00011
Massilistercora	2717089	G	2	1	3	0.00008
Intestinibacillus	1928820	G	1	0	1	0.00003
Candidatus Formimonas	2840454	G	1	0	1	0.00003
Aristaeella	3046369	G	1	0	1	0.00003
Filifactor	44259	G	1	0	1	0.00003
Mahella	252965	G	1	0	1	0.00003
Bacillus	1386	G	106	12945	13051	0.34596
Salicibibacter	2685905	G	2	0	2	0.00005
Staphylococcus	1279	G	14	60	74	0.00196
Gemella	1378	G	5	0	5	0.00013
Paenibacillus	44249	G	3	0	3	0.00008
Alicyclobacillus	29330	G	1	0	1	0.00003
Streptococcus	1301	G	28	16	44	0.00117
Granulicatella	117563	G	5	7	12	0.00032
Limosilactobacillus	2742598	G	1	0	1	0.00003
Anaerococcus	165779	G	11	4	15	0.00040
Peptoniphilus	162289	G	3	1	4	0.00011
Parvimonas	543311	G	1	0	1	0.00003
Thomasclavelia	3025755	G	5	4	9	0.00024
Faecalibaculum	1729679	G	1	2	3	0.00008
Veillonella	29465	G	4	0	4	0.00011
Selenomonas	970	G	1	0	1	0.00003
Cutibacterium	1912216	G	258	83	341	0.00904
Arachnia	2801844	G	2	0	2	0.00005
Corynebacterium	1716	G	72	6	78	0.00207
Lawsonella	1847725	G	26	2	28	0.00074
Mycobacterium	1763	G	1	158	159	0.00421
Rhodococcus	1827	G	1	0	1	0.00003
Gordonia	2053	G	1	0	1	0.00003
Kocuria	57493	G	7	10	17	0.00045
Micrococcus	1269	G	7	0	7	0.00019
Brevibacterium	1696	G	1	0	1	0.00003
Brachybacterium	43668	G	1	0	1	0.00003
Actinomyces	1654	G	7	1	8	0.00021
Actinobaculum	76833	G	1	0	1	0.00003
Bifidobacterium	1678	G	2	1	3	0.00008
Gardnerella	2701	G	1	0	1	0.00003
Collinsella	102106	G	10	4	14	0.00037
Rubrobacter	42255	G	1	0	1	0.00003
