name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium	216851	G	2183	559	2742	0.04535
Vescimonas	2892396	G	48	31	79	0.00131
Acetivibrio	35829	G	15	12	27	0.00045
Flavonifractor	946234	G	15	13	28	0.00046
Subdoligranulum	292632	G	15	0	15	0.00025
Lawsonibacter	2172004	G	7	8	15	0.00025
Oscillibacter	459786	G	6	8	14	0.00023
Solibaculum	2842531	G	4	5	9	0.00015
Ruminococcus	1263	G	2	0	2	0.00003
Caproicibacterium	2834348	G	2	3	5	0.00008
Dysosmobacter	2591381	G	2	182	184	0.00304
Ethanoligenens	253238	G	1	0	1	0.00002
Fastidiosipila	236752	G	1	0	1	0.00002
Mageeibacillus	1637257	G	1	0	1	0.00002
Pusillibacter	2892397	G	1	0	1	0.00002
Clostridium	1485	G	25	108	133	0.00220
Caloramator	44258	G	6	1	7	0.00012
Hungatella	1649459	G	5	2	7	0.00012
Caproiciproducens	1738645	G	5	2	7	0.00012
Acutalibacter	1918385	G	2	0	2	0.00003
Intestinibacillus	1928820	G	6	5	11	0.00018
Aristaeella	3046369	G	7	0	7	0.00012
Maliibacterium	3047433	G	6	1	7	0.00012
Flintibacter	1918454	G	5	4	9	0.00015
Desulforamulus	2916693	G	4	0	4	0.00007
Eubacterium	1730	G	1	1	2	0.00003
Mediterraneibacter	2316020	G	532	367	899	0.01487
Blautia	572511	G	111	79	190	0.00314
Coprococcus	33042	G	38	52	90	0.00149
Dorea	189330	G	30	38	68	0.00112
Chakrabartyella	3088373	G	22	4	26	0.00043
Anaerobutyricum	2569097	G	22	14	36	0.00060
Roseburia	841	G	19	13	32	0.00053
Enterocloster	2719313	G	19	1	20	0.00033
Anaerostipes	207244	G	13	8	21	0.00035
Agathobacter	1766253	G	12	10	22	0.00036
Lacrimispora	2719231	G	11	2	13	0.00021
Novisyntrophococcus	2888809	G	9	2	11	0.00018
Butyrivibrio	830	G	8	0	8	0.00013
Lachnoanaerobaculum	1164882	G	4	0	4	0.00007
Lachnoclostridium	1506553	G	3	0	3	0.00005
Simiaoa	2944193	G	3	2	5	0.00008
Kineothrix	2163168	G	2	0	2	0.00003
Lachnospira	28050	G	2	0	2	0.00003
Anaeromicropila	3024823	G	2	0	2	0.00003
Sellimonas	1769710	G	2	0	2	0.00003
Claveliimonas	3076670	G	1	0	1	0.00002
Marvinbryantia	248744	G	1	0	1	0.00002
Herbinix	1663717	G	1	0	1	0.00002
Qiania	2944195	G	1	0	1	0.00002
Wansuia	2944198	G	1	0	1	0.00002
Anaerotignum	2039240	G	49	34	83	0.00137
Emergencia	1926556	G	4	0	4	0.00007
Aminipila	2060094	G	1	0	1	0.00002
Filifactor	44259	G	2	0	2	0.00003
Thermoanaerobacterium	28895	G	3	0	3	0.00005
Bacillus	1386	G	186	6707	6893	0.11400
Neobacillus	2675232	G	3	0	3	0.00005
Parageobacillus	1906945	G	1	0	1	0.00002
Priestia	2800373	G	1	0	1	0.00002
Cytobacillus	2675230	G	1	0	1	0.00002
Fictibacillus	1329200	G	1	0	1	0.00002
Paenibacillus	44249	G	9	6	15	0.00025
Staphylococcus	1279	G	8	159	167	0.00276
Gemella	1378	G	8	0	8	0.00013
Sporosarcina	1569	G	1	0	1	0.00002
Listeria	1637	G	1	3	4	0.00007
Streptococcus	1301	G	30	13	43	0.00071
Weissella	46255	G	3	0	3	0.00005
Dolosigranulum	29393	G	3	1	4	0.00007
Granulicatella	117563	G	1	0	1	0.00002
Catenibacterium	135858	G	12	1	13	0.00021
Faecalibacillus	2678885	G	1	0	1	0.00002
Solobacterium	123375	G	4	2	6	0.00010
Anaerococcus	165779	G	16	7	23	0.00038
Helcococcus	31983	G	1	0	1	0.00002
Finegoldia	150022	G	1	0	1	0.00002
Phascolarctobacterium	33024	G	3	2	5	0.00008
Selenomonas	970	G	1	0	1	0.00002
Veillonella	29465	G	1	0	1	0.00002
Cutibacterium	1912216	G	70	15	85	0.00141
Nocardioides	1839	G	2	0	2	0.00003
Rothia	32207	G	3	1	4	0.00007
Kocuria	57493	G	2	8	10	0.00017
Micrococcus	1269	G	2	0	2	0.00003
Arthrobacter	1663	G	1	0	1	0.00002
Rhodoluna	529883	G	3	0	3	0.00005
Microbacterium	33882	G	1	8	9	0.00015
Dermacoccus	57495	G	3	3	6	0.00010
Brevibacterium	1696	G	1	0	1	0.00002
Corynebacterium	1716	G	14	1	15	0.00025
Mycobacterium	1763	G	7	7	14	0.00023
Nocardia	1817	G	1	0	1	0.00002
Rhodococcus	1827	G	1	1	2	0.00003
Streptomyces	1883	G	6	5	11	0.00018
Gardnerella	2701	G	3	0	3	0.00005
Bifidobacterium	1678	G	2	0	2	0.00003
Actinomyces	1654	G	1	0	1	0.00002
Mobiluncus	2050	G	1	0	1	0.00002
Actinotignum	1653174	G	1	0	1	0.00002
Schaalia	2529408	G	1	0	1	0.00002
Modestobacter	88138	G	2	0	2	0.00003
Rubrobacter	42255	G	6	0	6	0.00010
Olsenella	133925	G	1	0	1	0.00002
Nostoc	1177	G	3	3	6	0.00010
Oscillatoria	1158	G	4	1	5	0.00008
Synechococcus	1129	G	1	0	1	0.00002
Thermocoleostomius	3065395	G	1	0	1	0.00002
Spiroplasma	2132	G	2	0	2	0.00003
Bacteroides	816	G	551	92	643	0.01063
Phocaeicola	909656	G	252	125	377	0.00623
Alistipes	239759	G	142	11	153	0.00253
Odoribacter	283168	G	48	4	52	0.00086
Parabacteroides	375288	G	26	3	29	0.00048
Porphyromonas	836	G	18	1	19	0.00031
Prevotella	838	G	5	0	5	0.00008
Paraprevotella	577309	G	2	0	2	0.00003
Proteiniphilum	294702	G	4	1	5	0.00008
Muribaculum	1918540	G	2	0	2	0.00003
Duncaniella	2518495	G	1	0	1	0.00002
Tenuifilum	2760873	G	3	0	3	0.00005
Coprobacter	1348911	G	1	0	1	0.00002
Xiashengella	3129724	G	1	0	1	0.00002
Chryseobacterium	59732	G	3	2	5	0.00008
Bergeyella	59735	G	1	0	1	0.00002
Myroides	76831	G	4	2	6	0.00010
Emticicia	312278	G	3	1	4	0.00007
Hymenobacter	89966	G	1	0	1	0.00002
Pontibacter	323449	G	1	0	1	0.00002
Spirosoma	107	G	2	0	2	0.00003
Niabella	379899	G	3	0	3	0.00005
Ferruginibacter	1004303	G	1	0	1	0.00002
Pedobacter	84567	G	2	0	2	0.00003
Mucilaginibacter	423349	G	1	0	1	0.00002
Escherichia	561	G	20	29346	29366	0.48565
Enterobacter	547	G	4	94	98	0.00162
Salmonella	590	G	4	14047	14051	0.23237
Klebsiella	570	G	3	405	408	0.00675
Shigella	620	G	1	841	842	0.01392
Serratia	613	G	3	1	4	0.00007
Rouxiella	1565532	G	2	0	2	0.00003
Yersinia	629	G	1	1	2	0.00003
Erwinia	551	G	2	1	3	0.00005
Pectobacterium	122277	G	1	0	1	0.00002
Dickeya	204037	G	1	1	2	0.00003
Arsenophonus	637	G	1	0	1	0.00002
Sodalis	84565	G	1	0	1	0.00002
Haemophilus	724	G	12	17	29	0.00048
Pasteurella	745	G	1	3	4	0.00007
Gallibacterium	155493	G	1	0	1	0.00002
Basfia	697331	G	1	0	1	0.00002
Stenotrophomonas	40323	G	14	16	30	0.00050
Thermomonas	141948	G	3	0	3	0.00005
Pseudomonas	286	G	6	46	52	0.00086
Denitrificimonas	2901261	G	1	2	3	0.00005
Moraxella	475	G	3	0	3	0.00005
Acinetobacter	469	G	1	0	1	0.00002
Pistricoccus	1897649	G	3	0	3	0.00005
Vibrio	662	G	3	4	7	0.00012
Legionella	445	G	1	0	1	0.00002
Rickettsiella	59195	G	1	0	1	0.00002
Cellvibrio	10	G	1	0	1	0.00002
Candidatus Nitrosacidococcus	2796146	G	1	0	1	0.00002
Pseudoalteromonas	53246	G	1	0	1	0.00002
Sutterella	40544	G	191	25	216	0.00357
Cupriavidus	106589	G	6	4	10	0.00017
Lautropia	47670	G	2	1	3	0.00005
Acidovorax	12916	G	3	6	9	0.00015
Ottowia	219181	G	2	1	3	0.00005
Massilia	149698	G	3	0	3	0.00005
Janthinobacterium	29580	G	1	1	2	0.00003
Achromobacter	222	G	1	1	2	0.00003
Simonsiella	71	G	1	2	3	0.00005
Neisseria	482	G	1	0	1	0.00002
Sulfuritortus	1938335	G	1	1	2	0.00003
Paracoccus	265	G	7	0	7	0.00012
Aliiroseovarius	1658781	G	1	2	3	0.00005
Roseomonas	125216	G	3	7	10	0.00017
Parasphingorhabdus	2709685	G	4	0	4	0.00007
Sphingomonas	13687	G	2	2	4	0.00007
Asticcacaulis	76890	G	4	0	4	0.00007
Brevundimonas	41275	G	2	0	2	0.00003
Pararhizobium	1612611	G	1	0	1	0.00002
Pseudorhizobium	1903858	G	1	0	1	0.00002
Hyphomicrobium	81	G	1	0	1	0.00002
Rickettsia	780	G	1	0	1	0.00002
Lawsonia	41707	G	10	7	17	0.00028
Desulfovibrio	872	G	6	2	8	0.00013
