name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mediterraneibacter	2316020	G	218	382	600	0.02030
Roseburia	841	G	184	112	296	0.01001
Anaerostipes	207244	G	133	232	365	0.01235
Blautia	572511	G	80	50	130	0.00440
Enterocloster	2719313	G	41	16	57	0.00193
Agathobacter	1766253	G	33	81	114	0.00386
Anaerobutyricum	2569097	G	8	15	23	0.00078
Lachnoclostridium	1506553	G	5	5	10	0.00034
Herbinix	1663717	G	2	2	4	0.00014
Marvinbryantia	248744	G	1	0	1	0.00003
Lachnoanaerobaculum	1164882	G	1	0	1	0.00003
Qiania	2944195	G	1	0	1	0.00003
Flavonifractor	946234	G	24	32	56	0.00189
Faecalibacterium	216851	G	20	42	62	0.00210
Ruthenibacterium	1905344	G	13	12	25	0.00085
Acetivibrio	35829	G	1	0	1	0.00003
Clostridium	1485	G	29	20	49	0.00166
Hungatella	1649459	G	2	2	4	0.00014
Eubacterium	1730	G	1	2	3	0.00010
Intestinibacter	1505657	G	2	3	5	0.00017
Serpentinicella	1890059	G	1	0	1	0.00003
Aceticella	3051499	G	1	0	1	0.00003
Bacillus	1386	G	59	3201	3260	0.11027
Anoxybacillus	150247	G	2	0	2	0.00007
Oceanobacillus	182709	G	1	0	1	0.00003
Lysinibacillus	400634	G	1	0	1	0.00003
Staphylococcus	1279	G	4	21	25	0.00085
Jeotgalicoccus	227979	G	3	0	3	0.00010
Paenibacillus	44249	G	3	0	3	0.00010
Laceyella	292635	G	2	0	2	0.00007
Thermoactinomyces	2023	G	1	0	1	0.00003
Gemella	1378	G	1	0	1	0.00003
Streptococcus	1301	G	35	1087	1122	0.03795
Enterococcus	1350	G	4	0	4	0.00014
Lactobacillus	1578	G	2	0	2	0.00007
Dolosigranulum	29393	G	1	0	1	0.00003
Veillonella	29465	G	58	2	60	0.00203
Selenobaculum	3074372	G	23	6	29	0.00098
Selenomonas	970	G	1	72	73	0.00247
Thomasclavelia	3025755	G	16	4	20	0.00068
Anaerococcus	165779	G	2	1	3	0.00010
Finegoldia	150022	G	1	1	2	0.00007
