name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium	216851	G	277	105	382	0.01047
Subdoligranulum	292632	G	61	56	117	0.00321
Vescimonas	2892396	G	38	73	111	0.00304
Flavonifractor	946234	G	7	15	22	0.00060
Ruminococcus	1263	G	5	0	5	0.00014
Pusillibacter	2892397	G	5	8	13	0.00036
Paludihabitans	2038676	G	3	0	3	0.00008
Ruthenibacterium	1905344	G	2	2	4	0.00011
Anaerotruncus	244127	G	1	3	4	0.00011
Caproicibacterium	2834348	G	1	2	3	0.00008
Lawsonibacter	2172004	G	1	2	3	0.00008
Clostridium	1485	G	138	206	344	0.00943
Sarcina	1266	G	19	47	66	0.00181
Hungatella	1649459	G	12	6	18	0.00049
Intestinimonas	1392389	G	2	2	4	0.00011
Sinanaerobacter	2886866	G	1	0	1	0.00003
Flintibacter	1918454	G	1	1	2	0.00005
Acutalibacter	1918385	G	2	1	3	0.00008
Eubacterium	1730	G	2	3	5	0.00014
Maliibacterium	3047433	G	1	0	1	0.00003
Aristaeella	3046369	G	1	0	1	0.00003
Desulfitobacterium	36853	G	1	0	1	0.00003
Roseburia	841	G	134	88	222	0.00608
Blautia	572511	G	85	59	144	0.00395
Agathobacter	1766253	G	72	127	199	0.00545
Anaerobutyricum	2569097	G	62	85	147	0.00403
Dorea	189330	G	37	72	109	0.00299
Mediterraneibacter	2316020	G	28	49	77	0.00211
Anaerostipes	207244	G	26	27	53	0.00145
Simiaoa	2944193	G	23	37	60	0.00164
Coprococcus	33042	G	20	50	70	0.00192
Enterocloster	2719313	G	6	0	6	0.00016
Chakrabartyella	3088373	G	3	1	4	0.00011
Lachnoclostridium	1506553	G	2	2	4	0.00011
Anaerocolumna	1843210	G	2	0	2	0.00005
Lachnoanaerobaculum	1164882	G	1	0	1	0.00003
Anaeromicropila	3024823	G	1	0	1	0.00003
Wansuia	2944198	G	1	0	1	0.00003
Anaerotignum	2039240	G	4	4	8	0.00022
Defluviitalea	1185408	G	1	1	2	0.00005
Romboutsia	1501226	G	2	0	2	0.00005
Intestinibacter	1505657	G	2	4	6	0.00016
Emergencia	1926556	G	1	0	1	0.00003
Halanaerobium	2330	G	1	0	1	0.00003
Bacillus	1386	G	97	9508	9605	0.26324
Salicibibacter	2685905	G	2	0	2	0.00005
Neobacillus	2675232	G	1	0	1	0.00003
Staphylococcus	1279	G	4	41	45	0.00123
Gemella	1378	G	2	0	2	0.00005
Paenibacillus	44249	G	1	0	1	0.00003
Streptococcus	1301	G	17	0	17	0.00047
Lactococcus	1357	G	1	14	15	0.00041
Granulicatella	117563	G	1	1	2	0.00005
Faecalibacillus	2678885	G	17	9	26	0.00071
Thomasclavelia	3025755	G	5	1	6	0.00016
Turicibacter	191303	G	16	0	16	0.00044
Amedibacterium	2749267	G	2	4	6	0.00016
Veillonella	29465	G	2	0	2	0.00005
Dialister	39948	G	2	0	2	0.00005
Phascolarctobacterium	33024	G	2	0	2	0.00005
Selenomonas	970	G	1	0	1	0.00003
Anaerococcus	165779	G	2	1	3	0.00008
Parvimonas	543311	G	1	0	1	0.00003
Murdochiella	1161127	G	1	0	1	0.00003
Cutibacterium	1912216	G	134	36	170	0.00466
Brooklawnia	369926	G	1	1	2	0.00005
Bifidobacterium	1678	G	26	4	30	0.00082
Corynebacterium	1716	G	23	3	26	0.00071
Mycobacterium	1763	G	1	2	3	0.00008
Mycolicibacterium	1866885	G	1	0	1	0.00003
Lawsonella	1847725	G	2	0	2	0.00005
Rhodococcus	1827	G	1	0	1	0.00003
Segniliparus	286801	G	1	0	1	0.00003
Micrococcus	1269	G	7	23	30	0.00082
Rothia	32207	G	3	0	3	0.00008
Microbacterium	33882	G	4	4	8	0.00022
Janibacter	53457	G	1	0	1	0.00003
Actinomyces	1654	G	6	0	6	0.00016
Schaalia	2529408	G	1	0	1	0.00003
Streptomyces	1883	G	2	1	3	0.00008
Allokutzneria	1137960	G	1	0	1	0.00003
Collinsella	102106	G	32	15	47	0.00129
Adlercreutzia	447020	G	3	0	3	0.00008
Oscillatoria	1158	G	1	3	4	0.00011
Candidatus Hepatoplasma	295595	G	1	0	1	0.00003
Spiroplasma	2132	G	1	0	1	0.00003
Escherichia	561	G	7	2758	2765	0.07578
Klebsiella	570	G	2	707	709	0.01943
Enterobacter	547	G	1	153	154	0.00422
Citrobacter	544	G	1	63	64	0.00175
Salmonella	590	G	1	9222	9223	0.25277
Serratia	613	G	1	1	2	0.00005
Yersinia	629	G	1	9820	9821	0.26916
Pseudomonas	286	G	9	31	40	0.00110
Halotalea	376488	G	5	0	5	0.00014
Marinomonas	28253	G	2	0	2	0.00005
Acinetobacter	469	G	3	0	3	0.00008
Moraxella	475	G	1	0	1	0.00003
Haemophilus	724	G	1	0	1	0.00003
Legionella	445	G	2	0	2	0.00005
Pseudoalteromonas	53246	G	1	1	2	0.00005
Photobacterium	657	G	1	1	2	0.00005
Sutterella	40544	G	33	33	66	0.00181
Duodenibacillus	1980697	G	1	1	2	0.00005
Candidatus Symbiobacter	1436289	G	5	3	8	0.00022
Ottowia	219181	G	2	6	8	0.00022
Acidovorax	12916	G	1	0	1	0.00003
Variovorax	34072	G	1	0	1	0.00003
Hydrogenophaga	47420	G	1	6	7	0.00019
Delftia	80865	G	1	0	1	0.00003
Cupriavidus	106589	G	9	4	13	0.00036
