name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium	216851	G	5622	4132	9754	0.12348
Subdoligranulum	292632	G	6	0	6	0.00008
Vescimonas	2892396	G	5	7	12	0.00015
Lawsonibacter	2172004	G	5	7	12	0.00015
Flavonifractor	946234	G	4	3	7	0.00009
Pusillibacter	2892397	G	4	2	6	0.00008
Ruthenibacterium	1905344	G	3	1	4	0.00005
Ruminococcus	1263	G	2	0	2	0.00003
Fastidiosipila	236752	G	2	0	2	0.00003
Oscillibacter	459786	G	2	245	247	0.00313
Thermocaproicibacter	3048127	G	1	0	1	0.00001
Ethanoligenens	253238	G	1	0	1	0.00001
Mageeibacillus	1637257	G	1	0	1	0.00001
Hungatella	1649459	G	131	31	162	0.00205
Clostridium	1485	G	71	438	509	0.00644
Caloramator	44258	G	3	11	14	0.00018
Sarcina	1266	G	1	10	11	0.00014
Aristaeella	3046369	G	9	0	9	0.00011
Intestinibacillus	1928820	G	4	2	6	0.00008
Agathobaculum	2048137	G	1	0	1	0.00001
Maliibacterium	3047433	G	6	1	7	0.00009
Desulfitobacterium	36853	G	2	0	2	0.00003
Eubacterium	1730	G	1	0	1	0.00001
Flintibacter	1918454	G	1	0	1	0.00001
Anaerostipes	207244	G	807	202	1009	0.01277
Blautia	572511	G	469	3187	3656	0.04628
Lacrimispora	2719231	G	314	17	331	0.00419
Roseburia	841	G	251	1687	1938	0.02453
Enterocloster	2719313	G	220	10	230	0.00291
Butyrivibrio	830	G	165	9	174	0.00220
Mediterraneibacter	2316020	G	92	966	1058	0.01339
Lachnoclostridium	1506553	G	82	4	86	0.00109
Dorea	189330	G	80	16	96	0.00122
Anaerobutyricum	2569097	G	80	13	93	0.00118
Lachnospira	28050	G	64	5	69	0.00087
Simiaoa	2944193	G	58	8	66	0.00084
Coprococcus	33042	G	33	4	37	0.00047
Anaerocolumna	1843210	G	20	0	20	0.00025
Agathobacter	1766253	G	12	1	13	0.00016
Lachnoanaerobaculum	1164882	G	9	0	9	0.00011
Chordicoccus	3031933	G	8	0	8	0.00010
Kineothrix	2163168	G	6	0	6	0.00008
Marvinbryantia	248744	G	5	0	5	0.00006
Wansuia	2944198	G	5	0	5	0.00006
Sellimonas	1769710	G	2	0	2	0.00003
Qiania	2944195	G	2	0	2	0.00003
Herbinix	1663717	G	1	0	1	0.00001
Stomatobaculum	1213720	G	1	0	1	0.00001
Pseudobutyrivibrio	46205	G	1	0	1	0.00001
Claveliimonas	3076670	G	1	0	1	0.00001
Anaeromicropila	3024823	G	1	0	1	0.00001
Romboutsia	1501226	G	19	2	21	0.00027
Clostridioides	1870884	G	3	513	516	0.00653
Peptostreptococcus	1257	G	1	0	1	0.00001
Intestinibacter	1505657	G	1	0	1	0.00001
Filifactor	44259	G	32	16	48	0.00061
Mogibacterium	86331	G	1	0	1	0.00001
Serpentinicella	1890059	G	1	0	1	0.00001
Aceticella	3051499	G	2	0	2	0.00003
Mahella	252965	G	1	0	1	0.00001
Staphylococcus	1279	G	2454	12334	14788	0.18721
