name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium	216851	G	2139	545	2684	0.08069
Subdoligranulum	292632	G	11	2	13	0.00039
Anaerotruncus	244127	G	3	13	16	0.00048
Pusillibacter	2892397	G	3	4	7	0.00021
Vescimonas	2892396	G	3	0	3	0.00009
Paludihabitans	2038676	G	3	0	3	0.00009
Oscillibacter	459786	G	2	4	6	0.00018
Flavonifractor	946234	G	2	4	6	0.00018
Solibaculum	2842531	G	1	3	4	0.00012
Caproicibacterium	2834348	G	1	1	2	0.00006
Clostridium	1485	G	16	37	53	0.00159
Hungatella	1649459	G	3	1	4	0.00012
Aristaeella	3046369	G	8	0	8	0.00024
Maliibacterium	3047433	G	1	0	1	0.00003
Massilistercora	2717089	G	1	0	1	0.00003
Mediterraneibacter	2316020	G	240	32	272	0.00818
Blautia	572511	G	22	771	793	0.02384
Chakrabartyella	3088373	G	17	3	20	0.00060
Enterocloster	2719313	G	17	0	17	0.00051
Roseburia	841	G	14	1	15	0.00045
Anaerobutyricum	2569097	G	13	2	15	0.00045
Simiaoa	2944193	G	11	1	12	0.00036
Lacrimispora	2719231	G	10	0	10	0.00030
Anaerostipes	207244	G	8	1	9	0.00027
Marvinbryantia	248744	G	7	0	7	0.00021
Butyrivibrio	830	G	6	0	6	0.00018
Dorea	189330	G	5	1	6	0.00018
Agathobacter	1766253	G	2	0	2	0.00006
Lachnoanaerobaculum	1164882	G	2	0	2	0.00006
Lachnoclostridium	1506553	G	2	0	2	0.00006
Anaeropeptidivorans	2997360	G	1	0	1	0.00003
Coprococcus	33042	G	1	0	1	0.00003
Anaerotignum	2039240	G	26	12	38	0.00114
Filifactor	44259	G	5	1	6	0.00018
Staphylococcus	1279	G	133	188	321	0.00965
Bacillus	1386	G	58	2833	2891	0.08691
Cytobacillus	2675230	G	1	0	1	0.00003
Neobacillus	2675232	G	1	0	1	0.00003
Shouchella	2893057	G	1	0	1	0.00003
Paenibacillus	44249	G	6	0	6	0.00018
Gemella	1378	G	3	0	3	0.00009
Alicyclobacillus	29330	G	1	0	1	0.00003
Streptococcus	1301	G	24	9	33	0.00099
Leuconostoc	1243	G	2	1	3	0.00009
Pediococcus	1253	G	1	0	1	0.00003
Lactobacillus	1578	G	1	0	1	0.00003
Carnobacterium	2747	G	2	0	2	0.00006
Faecalibacillus	2678885	G	26	8	34	0.00102
Thomasclavelia	3025755	G	3	0	3	0.00009
Selenomonas	970	G	9	0	9	0.00027
Veillonella	29465	G	1	0	1	0.00003
Anaerococcus	165779	G	2	0	2	0.00006
Cutibacterium	1912216	G	91	31	122	0.00367
Propionibacterium	1743	G	1	0	1	0.00003
Arachnia	2801844	G	1	0	1	0.00003
Nocardioides	1839	G	2	0	2	0.00006
Corynebacterium	1716	G	11	2	13	0.00039
Mycobacterium	1763	G	3	10	13	0.00039
Mycobacteroides	670516	G	2	0	2	0.00006
Nocardia	1817	G	1	1	2	0.00006
Dietzia	37914	G	1	0	1	0.00003
Micrococcus	1269	G	4	0	4	0.00012
Rothia	32207	G	1	1	2	0.00006
Kocuria	57493	G	1	4	5	0.00015
Brachybacterium	43668	G	3	0	3	0.00009
Agrococcus	46352	G	1	2	3	0.00009
Dermacoccus	57495	G	1	1	2	0.00006
Bifidobacterium	1678	G	4	0	4	0.00012
Actinomycetospora	402649	G	2	1	3	0.00009
Gleimia	2692113	G	1	0	1	0.00003
Rubrobacter	42255	G	5	0	5	0.00015
Enorma	1472762	G	2	0	2	0.00006
Eggerthella	84111	G	1	0	1	0.00003
Ilumatobacter	682522	G	2	0	2	0.00006
Miltoncostaea	2843200	G	1	0	1	0.00003
Oscillatoria	1158	G	2	4	6	0.00018
Mycoplasma	2093	G	2	0	2	0.00006
Haploplasma	2903106	G	2	0	2	0.00006
Meiothermus	65551	G	2	0	2	0.00006
Escherichia	561	G	7	1181	1188	0.03571
Salmonella	590	G	3	23211	23214	0.69785
Klebsiella	570	G	1	159	160	0.00481
Buchnera	32199	G	1	0	1	0.00003
Providencia	586	G	1	0	1	0.00003
Haemophilus	724	G	11	4	15	0.00045
Gallibacterium	155493	G	5	5	10	0.00030
Pseudomonas	286	G	14	9	23	0.00069
Permianibacter	1649479	G	1	0	1	0.00003
Acinetobacter	469	G	3	2	5	0.00015
Moraxella	475	G	3	0	3	0.00009
Psychrobacter	497	G	1	0	1	0.00003
Stenotrophomonas	40323	G	4	5	9	0.00027
Xanthomonas	338	G	2	0	2	0.00006
Vibrio	662	G	4	1	5	0.00015
Halomonas	2745	G	2	0	2	0.00006
Flagellatimonas	2893022	G	1	0	1	0.00003
Rheinheimera	67575	G	1	0	1	0.00003
Oceanimonas	129577	G	1	0	1	0.00003
Sutterella	40544	G	161	54	215	0.00646
Burkholderia	32008	G	4	0	4	0.00012
Cupriavidus	106589	G	4	0	4	0.00012
Lautropia	47670	G	1	2	3	0.00009
Hydrogenophaga	47420	G	1	4	5	0.00015
Caldimonas	196013	G	1	4	5	0.00015
Massilia	149698	G	1	1	2	0.00006
Aquabacterium	92793	G	1	2	3	0.00009
Rhizobium	379	G	2	2	4	0.00012
Pseudorhizobium	1903858	G	1	0	1	0.00003
Devosia	46913	G	2	0	2	0.00006
Methylobacterium	407	G	2	2	4	0.00012
Aureimonas	414371	G	2	0	2	0.00006
Tardiphaga	1395974	G	1	0	1	0.00003
Sphingomonas	13687	G	1	0	1	0.00003
Emcibacter	1602338	G	2	0	2	0.00006
Asticcacaulis	76890	G	1	0	1	0.00003
Hydrogenophilus	70774	G	1	0	1	0.00003
Phocaeicola	909656	G	122	72	194	0.00583
Bacteroides	816	G	66	7	73	0.00219
Alistipes	239759	G	17	1	18	0.00054
Prevotella	838	G	7	1	8	0.00024
Porphyromonas	836	G	6	0	6	0.00018
Parabacteroides	375288	G	5	0	5	0.00015
Sodaliphilus	2815786	G	1	0	1	0.00003
Coprobacter	1348911	G	1	0	1	0.00003
Sunxiuqinia	1254401	G	1	0	1	0.00003
Maribacter	252356	G	1	0	1	0.00003
Cloacibacterium	501783	G	1	0	1	0.00003
Hymenobacter	89966	G	1	0	1	0.00003
Spirosoma	107	G	1	0	1	0.00003
Fusobacterium	848	G	55	4	59	0.00177
Desulfovibrio	872	G	4	0	4	0.00012
Nitratidesulfovibrio	2802295	G	3	7	10	0.00030
Taurinivorans	3126915	G	3	3	6	0.00018
Lawsonia	41707	G	2	1	3	0.00009
Desulfoferula	3093638	G	1	0	1	0.00003
Borreliella	64895	G	1	0	1	0.00003
Treponema	157	G	1	0	1	0.00003
Brachyspira	29521	G	2	0	2	0.00006
Anatilimnocola	2807414	G	4	0	4	0.00012
Sulfidibacter	2915177	G	2	0	2	0.00006
Candidatus Babela	1551504	G	1	0	1	0.00003
Campylobacter	194	G	1	0	1	0.00003
Methanocaldococcus	196118	G	229	101	330	0.00992
Homo	9605	G	11	2	13	0.00039
