name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mediterraneibacter	2316020	G	458	46	504	0.01012
Anaerostipes	207244	G	299	70	369	0.00741
Agathobacter	1766253	G	287	19	306	0.00614
Anaerobutyricum	2569097	G	146	9	155	0.00311
Blautia	572511	G	129	1561	1690	0.03393
Dorea	189330	G	116	12	128	0.00257
Roseburia	841	G	109	173	282	0.00566
Simiaoa	2944193	G	68	3	71	0.00143
Coprococcus	33042	G	49	5	54	0.00108
Lachnoclostridium	1506553	G	28	1	29	0.00058
Enterocloster	2719313	G	17	0	17	0.00034
Herbinix	1663717	G	17	2	19	0.00038
Butyrivibrio	830	G	14	0	14	0.00028
Wansuia	2944198	G	8	0	8	0.00016
Sellimonas	1769710	G	8	0	8	0.00016
Anaerocolumna	1843210	G	7	0	7	0.00014
Novisyntrophococcus	2888809	G	6	0	6	0.00012
Marvinbryantia	248744	G	4	0	4	0.00008
Claveliimonas	3076670	G	2	0	2	0.00004
Lachnoanaerobaculum	1164882	G	2	0	2	0.00004
Lachnospira	28050	G	2	0	2	0.00004
Pseudobutyrivibrio	46205	G	1	0	1	0.00002
Cellulosilyticum	698776	G	7	0	7	0.00014
Defluviitalea	1185408	G	3	0	3	0.00006
Anaerotignum	2039240	G	2	0	2	0.00004
Faecalibacterium	216851	G	1537	392	1929	0.03873
Subdoligranulum	292632	G	29	6	35	0.00070
Ruminococcus	1263	G	6	0	6	0.00012
Flavonifractor	946234	G	3	9	12	0.00024
Pusillibacter	2892397	G	1	2	3	0.00006
Vescimonas	2892396	G	1	7	8	0.00016
Mageeibacillus	1637257	G	1	1	2	0.00004
Clostridium	1485	G	29	236	265	0.00532
Hungatella	1649459	G	5	0	5	0.00010
Desulforamulus	2916693	G	6	0	6	0.00012
Candidatus Formimonas	2840454	G	1	0	1	0.00002
Intestinimonas	1392389	G	5	2	7	0.00014
Eubacterium	1730	G	3	0	3	0.00006
Intestinibacillus	1928820	G	2	0	2	0.00004
Filifactor	44259	G	3	0	3	0.00006
Terrisporobacter	1505652	G	1	0	1	0.00002
Bacillus	1386	G	119	8997	9116	0.18304
Salicibibacter	2685905	G	6	0	6	0.00012
Parageobacillus	1906945	G	1	0	1	0.00002
Heyndrickxia	2837504	G	1	0	1	0.00002
Priestia	2800373	G	1	0	1	0.00002
Mesobacillus	2675231	G	1	0	1	0.00002
Cytobacillus	2675230	G	1	0	1	0.00002
Fictibacillus	1329200	G	1	0	1	0.00002
Lysinibacillus	400634	G	1	0	1	0.00002
Staphylococcus	1279	G	122	312	434	0.00871
Paenibacillus	44249	G	5	0	5	0.00010
Gemella	1378	G	3	0	3	0.00006
Alicyclobacillus	29330	G	2	0	2	0.00004
Streptococcus	1301	G	25	13	38	0.00076
Carnobacterium	2747	G	6	1	7	0.00014
Granulicatella	117563	G	1	1	2	0.00004
Lactobacillus	1578	G	2	0	2	0.00004
Leuconostoc	1243	G	1	0	1	0.00002
Tetragenococcus	51668	G	1	0	1	0.00002
Faecalibacillus	2678885	G	170	16	186	0.00373
Tannockella	2943184	G	1	0	1	0.00002
Erysipelothrix	1647	G	4	0	4	0.00008
Amedibacterium	2749267	G	2	9	11	0.00022
Bulleidia	118747	G	1	1	2	0.00004
Anaerococcus	165779	G	4	1	5	0.00010
Finegoldia	150022	G	3	1	4	0.00008
Peptoniphilus	162289	G	1	0	1	0.00002
Veillonella	29465	G	7	0	7	0.00014
Dialister	39948	G	1	0	1	0.00002
Cutibacterium	1912216	G	176	32	208	0.00418
Tessaracoccus	72763	G	11	3	14	0.00028
Raineyella	1911549	G	1	1	2	0.00004
Nocardioides	1839	G	2	2	4	0.00008
Corynebacterium	1716	G	50	10	60	0.00120
Lawsonella	1847725	G	9	1	10	0.00020
Mycobacterium	1763	G	5	5	10	0.00020
Mycolicibacterium	1866885	G	2	0	2	0.00004
Dietzia	37914	G	1	2	3	0.00006
Tomitella	741759	G	1	0	1	0.00002
Micrococcus	1269	G	10	0	10	0.00020
Kocuria	57493	G	5	5	10	0.00020
Rothia	32207	G	2	0	2	0.00004
Dermacoccus	57495	G	10	8	18	0.00036
Brachybacterium	43668	G	4	0	4	0.00008
Tropheryma	2038	G	1	0	1	0.00002
Janibacter	53457	G	1	1	2	0.00004
Microbacterium	33882	G	1	0	1	0.00002
Bifidobacterium	1678	G	23	3	26	0.00052
Gardnerella	2701	G	1	0	1	0.00002
Actinomyces	1654	G	3	0	3	0.00006
Schaalia	2529408	G	1	0	1	0.00002
Saccharomonospora	1851	G	1	0	1	0.00002
Streptomyces	1883	G	1	1	2	0.00004
Eggerthella	84111	G	2	2	4	0.00008
Parolsenella	2082587	G	1	0	1	0.00002
Nostoc	1177	G	1	0	1	0.00002
Crocosphaera	263510	G	1	0	1	0.00002
Oscillatoria	1158	G	1	0	1	0.00002
Chroococcidiopsis	54298	G	1	1	2	0.00004
Hujiaoplasma	3078171	G	2	0	2	0.00004
Spiroplasma	2132	G	1	0	1	0.00002
Fimbriimonas	1005038	G	2	0	2	0.00004
Deinococcus	1298	G	1	0	1	0.00002
Escherichia	561	G	7	4991	4998	0.10036
Klebsiella	570	G	5	1024	1029	0.02066
Enterobacter	547	G	2	118	120	0.00241
Salmonella	590	G	2	25266	25268	0.50736
Candidatus Regiella	568988	G	1	0	1	0.00002
Pantoea	53335	G	1	1	2	0.00004
Providencia	586	G	1	28	29	0.00058
Xenorhabdus	626	G	1	0	1	0.00002
Haemophilus	724	G	94	109	203	0.00408
Aggregatibacter	416916	G	1	117	118	0.00237
Actinobacillus	713	G	1	0	1	0.00002
Pseudomonas	286	G	24	96	120	0.00241
Acinetobacter	469	G	9	4	13	0.00026
Moraxella	475	G	3	0	3	0.00006
Sulfurifustis	1692042	G	5	0	5	0.00010
Vibrio	662	G	4	0	4	0.00008
Photobacterium	657	G	1	0	1	0.00002
Stenotrophomonas	40323	G	2	2	4	0.00008
Pseudoxanthomonas	83618	G	1	0	1	0.00002
Legionella	445	G	1	0	1	0.00002
Aquicella	254245	G	1	0	1	0.00002
Halomonas	2745	G	1	0	1	0.00002
Flagellatimonas	2893022	G	1	0	1	0.00002
Microbulbifer	48073	G	1	0	1	0.00002
Cardiobacterium	2717	G	1	0	1	0.00002
Sphingomonas	13687	G	3	7	10	0.00020
Sphingobium	165695	G	1	0	1	0.00002
Asticcacaulis	76890	G	2	9	11	0.00022
Phyllobacterium	28100	G	2	1	3	0.00006
Aureimonas	414371	G	1	6	7	0.00014
Paracoccus	265	G	4	0	4	0.00008
Aliiroseovarius	1658781	G	1	2	3	0.00006
Skermanella	204447	G	1	0	1	0.00002
Nitrospirillum	1543705	G	1	0	1	0.00002
Achromobacter	222	G	3	0	3	0.00006
Paenalcaligenes	1100891	G	1	0	1	0.00002
Burkholderia	32008	G	1	0	1	0.00002
Polynucleobacter	44013	G	1	1	2	0.00004
Cupriavidus	106589	G	1	0	1	0.00002
Caldimonas	196013	G	1	10	11	0.00022
Nitrosomonas	914	G	1	0	1	0.00002
Neisseria	482	G	1	0	1	0.00002
Phocaeicola	909656	G	448	93	541	0.01086
Bacteroides	816	G	68	7	75	0.00151
Parabacteroides	375288	G	32	2	34	0.00068
Porphyromonas	836	G	6	0	6	0.00012
Prevotella	838	G	1	0	1	0.00002
Barnesiella	397864	G	1	0	1	0.00002
Aureibaculum	2706948	G	4	0	4	0.00008
Elizabethkingia	308865	G	1	0	1	0.00002
Chryseobacterium	59732	G	1	1	2	0.00004
Sphingobacterium	28453	G	3	0	3	0.00006
Spirosoma	107	G	2	0	2	0.00004
Dyadobacter	120831	G	1	0	1	0.00002
Niabella	379899	G	1	0	1	0.00002
Nitratidesulfovibrio	2802295	G	6	22	28	0.00056
Desulfovibrio	872	G	5	0	5	0.00010
Lawsonia	41707	G	3	3	6	0.00012
Desulfofustis	51194	G	2	0	2	0.00004
Entomospira	2834378	G	2	0	2	0.00004
Borreliella	64895	G	1	0	1	0.00002
Fusobacterium	848	G	2	0	2	0.00004
Candidatus Nanosynbacter	2093823	G	1	0	1	0.00002
Pyramidobacter	638847	G	1	0	1	0.00002
Sulfurihydrogenibium	212790	G	1	0	1	0.00002
Methanocaldococcus	196118	G	344	446	790	0.01586
Homo	9605	G	15	1	16	0.00032
