name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium	216851	G	1230	405	1635	0.03575
Subdoligranulum	292632	G	3	2	5	0.00011
Vescimonas	2892396	G	2	4	6	0.00013
Ruminococcus	1263	G	2	0	2	0.00004
Pusillibacter	2892397	G	1	2	3	0.00007
Clostridium	1485	G	6	51	57	0.00125
Caproiciproducens	1738645	G	1	0	1	0.00002
Acutalibacter	1918385	G	1	0	1	0.00002
Maliibacterium	3047433	G	2	0	2	0.00004
Aristaeella	3046369	G	2	0	2	0.00004
Intestinimonas	1392389	G	1	1	2	0.00004
Flintibacter	1918454	G	1	1	2	0.00004
Intestinibacillus	1928820	G	1	0	1	0.00002
Anaerostipes	207244	G	222	174	396	0.00866
Dorea	189330	G	73	96	169	0.00370
Mediterraneibacter	2316020	G	70	80	150	0.00328
Blautia	572511	G	57	42	99	0.00216
Anaerobutyricum	2569097	G	53	45	98	0.00214
Enterocloster	2719313	G	32	5	37	0.00081
Chordicoccus	3031933	G	7	1	8	0.00017
Wansuia	2944198	G	5	1	6	0.00013
Marvinbryantia	248744	G	5	1	6	0.00013
Simiaoa	2944193	G	4	4	8	0.00017
Lachnoclostridium	1506553	G	4	0	4	0.00009
Roseburia	841	G	3	3	6	0.00013
Chakrabartyella	3088373	G	2	0	2	0.00004
Lacrimispora	2719231	G	2	0	2	0.00004
Agathobacter	1766253	G	1	1	2	0.00004
Butyrivibrio	830	G	1	0	1	0.00002
Coprococcus	33042	G	1	1	2	0.00004
Lachnoanaerobaculum	1164882	G	1	0	1	0.00002
Stomatobaculum	1213720	G	1	0	1	0.00002
Kineothrix	2163168	G	1	0	1	0.00002
Anaerocolumna	1843210	G	1	0	1	0.00002
Anaerotignum	2039240	G	1	0	1	0.00002
Monoglobus	2039302	G	1	0	1	0.00002
Bacillus	1386	G	100	12653	12753	0.27885
Pseudalkalibacillus	2893058	G	1	0	1	0.00002
Staphylococcus	1279	G	7	66	73	0.00160
Paenibacillus	44249	G	5	0	5	0.00011
Gemella	1378	G	2	0	2	0.00004
Brochothrix	2755	G	1	0	1	0.00002
Streptococcus	1301	G	27	0	27	0.00059
Limosilactobacillus	2742598	G	4	2	6	0.00013
Lactobacillus	1578	G	3	9	12	0.00026
Ligilactobacillus	2767887	G	3	0	3	0.00007
Lentilactobacillus	2767893	G	1	0	1	0.00002
Dolosigranulum	29393	G	3	1	4	0.00009
Granulicatella	117563	G	1	0	1	0.00002
Enterococcus	1350	G	1	0	1	0.00002
Faecalibacillus	2678885	G	25	13	38	0.00083
Allobaculum	174708	G	1	0	1	0.00002
Veillonella	29465	G	7	0	7	0.00015
Selenomonas	970	G	1	0	1	0.00002
Megamonas	158846	G	1	1	2	0.00004
Phascolarctobacterium	33024	G	3	0	3	0.00007
